Price,Open,High,Low,Close,Volume,Volatility,Predicted_Close
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,,
Date,,,,,,,
2024-09-18,159.4933240269204,160.1318554271487,158.23621961441162,159.4434356689453,23677300,1.8956358127370834,159.74346771240235
2024-09-19,163.3344876968325,163.41429079540828,160.96991366518583,161.76808166503906,26587700,2.444377130222449,161.88516845703126
2024-09-20,163.12496229374892,163.35443045510996,161.68826294232812,163.21475219726562,40896400,1.6661675127818398,162.98333602905274
2024-09-23,163.97300985155823,165.1103942398001,161.29914948564644,161.47874450683594,24150900,3.8112447541536483,162.48500930786133
2024-09-24,162.65603264196153,162.84559924653018,160.32140390143587,161.917724609375,23332100,2.524195345094313,161.24210494995117
2024-09-25,161.09960948590057,162.43653204188453,160.93000127122684,161.11956787109375,18869200,1.5065307706576903,160.88507781982423
2024-09-26,163.26463623457852,163.70362938299246,161.90775524120266,162.35671997070312,20319300,1.7958741417897954,163.02826461791992
2024-09-27,162.4365443712631,165.31991468714682,162.25696456225583,163.5739288330078,21101300,3.062950124890989,163.5725454711914
2024-09-30,162.9453785886578,165.76887364583845,162.88550343062403,165.46957397460938,20413900,2.883370215214427,163.9515187072754
2024-10-01,167.30535540779766,168.7719847422779,164.2024885113937,166.60696411132812,28338100,4.569496230884198,165.95889343261717
2024-10-02,166.03826626655388,167.13574919120185,164.3521403294987,165.47955322265625,17760200,2.783608861703158,165.4694859313965
2024-10-03,164.0328822574666,166.25776285148348,163.54400073216186,165.47955322265625,15073100,2.713762119321615,164.9608660888672
2024-10-04,167.67450983826666,167.84411807380985,165.10042588796134,166.6768035888672,19047400,2.7436921858485164,166.01410842895507
2024-10-07,167.3352883566198,168.09353960289477,162.37668722767793,162.6061553955078,22463100,5.716852375216831,164.57159729003905
2024-10-08,163.5639517960843,164.35213297119705,162.49639888774195,164.00294494628906,23072700,1.8557340834551042,163.61507583618163
2024-10-09,163.07507293573457,164.46188392429227,159.37359151374716,161.4887237548828,31181800,5.088292410545108,162.4956430053711
2024-10-10,160.50099024469034,162.69595604624766,160.0320671165202,161.70822143554688,14144100,2.663888929727449,160.90222488403322
2024-10-11,161.75810039177787,163.52402928799188,160.87014254138842,162.8655548095703,15344300,2.6538867466034617,161.5470034790039
2024-10-14,163.26463978878337,165.84869515872447,163.02518482340258,164.5816192626953,19016100,2.8235103353218847,164.10242263793944
2024-10-15,165.40970450318616,167.29536861569628,164.25237687914083,165.08047485351562,20247200,3.04299173655545,165.48217590332033
2024-10-16,164.1525986742248,165.41968980167007,163.36441748042412,164.78115844726562,16406000,2.055272321245951,164.78664428710937
2024-10-17,165.3498394792033,165.9883708197769,162.3866509330354,162.55625915527344,21453400,3.6017198867414777,164.18301681518554
2024-10-18,162.81568258592537,164.3322003226238,162.7059342913527,163.04515075683594,19757700,1.6262660312711148,163.4874932861328
2024-10-21,162.57622324771475,164.12267091200812,162.24697837282997,163.69366455078125,20946500,1.8756925391781465,163.4147850036621
2024-10-22,162.60615092256947,165.38975972379467,162.60615092256947,164.76119995117188,16568100,2.783608801225199,163.74196899414062
2024-10-23,164.38207025094962,165.43965162521155,161.5585598399715,162.4066162109375,18280500,3.881091785240045,163.83902725219727
2024-10-24,162.45648900457678,162.95534206352698,160.64065656258018,162.34674072265625,22412500,2.3146855009468084,161.2475944519043
2024-10-25,163.29456372883286,165.21015770980458,163.04513719135548,164.89089965820312,19828900,2.165020518449097,163.79513046264648
2024-10-28,168.3629124526984,168.3629124526984,163.5739198981752,166.3375701904297,32138600,4.78899255452319,165.70814544677734
2024-10-29,167.34524754513916,169.98917796535144,166.70671622088258,169.290771484375,42169000,3.2824617444688613,168.6959259033203
2024-10-30,180.26553244445503,181.6024702004282,173.660722875302,174.059814453125,68890800,7.941747325126187,177.46871444702148
2024-10-31,172.73288489023227,176.41442332366287,170.60776574356834,170.71751403808594,44769000,5.806657580094537,174.2065594482422
2024-11-01,169.67989197256162,171.924730806551,168.49261922011235,170.89707946777344,31796500,3.4321115864386513,170.26502075195313
2024-11-04,169.54019582543023,170.33836377636248,167.6246018774653,168.85179138183594,21492700,2.7137618988971894,168.52904449462892
2024-11-05,169.04136050984187,170.1388434605921,168.45271748343447,169.3506622314453,18242100,1.6861259771576442,169.05134704589844
2024-11-06,173.40134249175,176.53413938489027,173.1020275837351,176.10511779785156,33695500,3.4321118011551732,173.81611755371094
2024-11-07,177.00306824410018,180.66464832946426,176.78357165271254,180.3354034423828,25352900,3.881076676751718,179.93855850219725
2024-11-08,180.23561473741785,180.48504128160124,177.6715177795822,177.94090270996094,22006200,2.813523502019052,179.9014958190918
2024-11-11,178.17038077952392,180.13586327493155,178.06063248502642,179.9363250732422,17450400,2.0752307899051345,178.31107467651367
2024-11-12,179.40752552521292,182.07139909398467,178.9785039683493,181.20338439941406,25134900,3.09289512563538,181.05954818725587
2024-11-13,180.04607372180914,180.54492683890805,178.130464355215,178.46969604492188,23184000,2.4144624836930575,180.38346450805665
2024-11-14,177.8710496301556,178.40981947170926,173.9201418364374,175.17724609375,31007500,4.489677635271846,175.07789749145508
2024-11-15,173.3314910172349,173.7405542062273,170.8272539769183,172.09434509277344,32504600,2.9133002293089874,171.59900573730468
2024-11-18,173.02219578168507,175.03756643328137,172.5033843297936,174.89788818359375,20206600,2.5341821034877796,172.95213989257812
2024-11-19,173.32152453373092,178.45970544097182,173.16188788594766,177.71142578125,23434900,5.297817555024153,175.3744581604004
2024-11-20,176.9332054393086,177.27242187746617,173.38137397204065,175.57632446289062,18997100,3.8910479054255234,174.08737121582033
2024-11-21,173.50110570024947,173.73058909215166,163.32450529327863,167.24549865722656,59734400,10.406083798873027,166.15216262817384
2024-11-22,165.4695761261647,166.0781775052239,163.52403689515066,164.38206481933594,38604600,2.554140610073233,165.1817333984375
2024-11-25,165.70900750846198,168.2431896044489,165.2301128286344,167.2654266357422,33135300,3.013076775814511,166.29122421264648
2024-11-26,167.24549839943876,169.43047745533647,167.19561004372002,168.73207092285156,20486700,2.234867411616449,169.2631042480469
2024-11-27,168.61234397565445,169.09123867813173,167.6345961844918,168.84181213378906,19266500,1.4566424936399187,168.64617950439452
2024-11-29,168.1134894922982,169.0413489221372,166.7765668794217,168.5624542236328,14257200,2.2647820427154954,168.79129760742188
2024-12-02,168.38287195306333,171.6852768885628,168.18333376692627,171.0966339111328,23789100,3.5019431216365433,169.930958404541
2024-12-03,171.0966254993042,172.28388297677475,170.4580942007859,170.94696044921875,22248700,1.8257887759888547,171.71282165527344
2024-12-04,170.75740145903967,174.50878632573773,170.6676115592613,173.9700164794922,31615100,3.8411747664764277,172.45583740234375
2024-12-05,174.95774996584004,175.65614122166315,171.93470156837253,172.24398803710938,21356200,3.7214396532906164,172.31237365722657
2024-12-06,171.6354044780067,174.6784115765489,171.4657962428472,174.30926513671875,21462400,3.212615333701706,172.91325881958008
2024-12-09,173.75989224042516,176.05723424799297,173.45023604553785,175.1682586669922,25389600,2.6069982024551166,173.1894596862793
2024-12-10,182.6396622409938,186.14561898038454,180.8417298459591,184.9569854736328,54813000,5.303889134425447,184.1419627380371
2024-12-11,185.0968273042346,195.3849818086967,184.637364997593,195.1752166748047,67894100,10.747616811103683,189.06568359375
2024-12-12,194.77567768503926,194.9554633024938,191.48946911126617,191.7391815185547,34817500,3.4659941912276224,194.00656860351563
2024-12-13,190.7902570178538,192.50827955283287,189.42183794011777,189.6016387939453,25143500,3.086441612715106,191.38240158081055
2024-12-16,192.648128127054,198.77108139081074,192.39841571324646,196.43377685546875,44934900,6.372665677564271,195.7380694580078
2024-12-17,197.02308705872431,201.18828813489583,194.7556941593745,195.1951904296875,43504000,6.432593975521314,198.12093826293946
2024-12-18,194.99541962680925,196.77337069091053,187.52402890568504,188.18325805664062,34166100,9.249341785225482,192.2848585510254
2024-12-19,191.40955777871685,192.8079411518366,188.16329650997008,188.2931365966797,32265200,4.644644641866506,191.51620727539063
2024-12-20,185.56627599656574,192.66809720587494,185.00692266360085,191.18980407714844,63462900,7.661174542274097,187.73472274780272
2024-12-23,192.3984151157297,194.87557322669755,189.93125525567427,194.40611267089844,25675000,4.944317971023281,193.73884963989258
2024-12-24,194.61585613024195,195.8843994140625,193.55707797257898,195.8843994140625,10403300,2.3273214414835195,194.87334045410157
2024-12-26,194.92550545907343,196.52367101490134,194.1564021929594,195.375,12046600,2.367268821941934,195.6293394470215
2024-12-27,194.72573696465102,195.09532170060632,190.43068040496257,192.5382537841797,18891400,4.664641295643747,193.9451124572754
2024-12-30,189.58165840021294,192.32849481864238,188.90243274221342,191.02000427246094,14264700,3.4260620764289627,190.6564990234375
2024-12-31,190.8601960597075,191.73918864322025,188.29314510160168,189.08224487304688,17466900,3.4460435416185646,190.571650390625
2025-01-02,190.43067970164262,191.7791328258186,187.2843094002135,189.2120819091797,20370800,4.494823425605119,188.7468766784668
2025-01-03,191.14985143368122,192.9877463613902,189.76145103861666,191.56936645507812,18596200,3.2262953227735522,192.23278121948243
2025-01-06,193.75684931380115,197.99197728329852,193.6270092243641,196.64352416992188,29563600,4.364968058934437,195.72764999389648
2025-01-07,196.8832529983184,200.7687774852745,194.37614589069548,195.26512145996094,26487200,6.392631594579029,197.47898086547852
2025-01-08,192.3484808074723,196.06418741382137,192.1586969389352,193.7268829345703,24864800,3.9054904748861645,195.01788513183592
2025-01-10,194.07648645979594,196.29393386115163,190.09107094303815,191.81907653808594,26665200,6.202862918113482,194.71353408813476
2025-01-13,189.8513620671916,190.96007055747594,187.14447278422705,190.79026794433594,21823700,3.8155977732488964,188.7776483154297
2025-01-14,191.02000242961614,191.75914137705388,188.0933651847724,189.4418182373047,17174900,3.66577619228147,190.19354873657227
2025-01-15,192.8678659974796,196.1341084636535,191.6392852545324,195.32504272460938,21776000,4.49482320912108,194.85647384643553
2025-01-16,193.91666057341888,195.2551153784116,192.58818877757312,192.68807983398438,17815400,2.6669266008384795,194.04348083496095
